index,id,original_title,genres,keywords,cast,director,combine
17,1865,Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasy,sea captain mutiny sword prime minister,Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush,Rob Marshall,Adventure Action Fantasy sea captain mutiny sword prime minister Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey RushRob Marshall
18,41154,Men in Black 3,Action Comedy Science Fiction,time travel time machine alien fictional government agency seeing the future,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson,Barry Sonnenfeld,Action Comedy Science Fiction time travel time machine alien fictional government agency seeing the future Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma ThompsonBarry Sonnenfeld
19,122917,The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy,corruption elves dwarves orcs middle-earth (tolkien),Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson,Action Adventure Fantasy corruption elves dwarves orcs middle-earth (tolkien) Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavishPeter Jackson
20,1930,The Amazing Spider-Man,Action Adventure Fantasy,loss of father vigilante serum marvel comic scientific experiment,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott,Marc Webb,Action Adventure Fantasy loss of father vigilante serum marvel comic scientific experiment Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell ScottMarc Webb
21,20662,Robin Hood,Action Adventure,robin hood archer knight sherwood forest bow and arrow,Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong,Ridley Scott,Action Adventure robin hood archer knight sherwood forest bow and arrow Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark StrongRidley Scott
22,57158,The Hobbit: The Desolation of Smaug,Adventure Fantasy,elves dwarves orcs hobbit dragon,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson,Adventure Fantasy elves dwarves orcs hobbit dragon Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavishPeter Jackson
23,2268,The Golden Compass,Adventure Fantasy,england compass experiment lordship uncle,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green,Chris Weitz,Adventure Fantasy england compass experiment lordship uncle Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva GreenChris Weitz
24,254,King Kong,Adventure Drama Action,film business screenplay show business film making film producer,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks,Peter Jackson,Adventure Drama Action film business screenplay show business film making film producer Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin HanksPeter Jackson
25,597,Titanic,Drama Romance Thriller,shipwreck iceberg ship panic titanic,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,James Cameron,Drama Romance Thriller shipwreck iceberg ship panic titanic Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy BatesJames Cameron
26,271110,Captain America: Civil War,Adventure Action Science Fiction,civil war war marvel comic sequel superhero,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,Anthony Russo,Adventure Action Science Fiction civil war war marvel comic sequel superhero Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony MackieAnthony Russo
27,44833,Battleship,Thriller Action Adventure Science Fiction,fight u.s. navy mind reading hong kong soccer,Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano,Peter Berg,Thriller Action Adventure Science Fiction fight u.s. navy mind reading hong kong soccer Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu AsanoPeter Berg
28,135397,Jurassic World,Action Adventure Science Fiction Thriller,monster dna tyrannosaurus rex velociraptor island,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,Colin Trevorrow,Action Adventure Science Fiction Thriller monster dna tyrannosaurus rex velociraptor island Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick RobinsonColin Trevorrow
29,37724,Skyfall,Action Adventure Thriller,spy secret agent sociopath killer art gallery,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris,Sam Mendes,Action Adventure Thriller spy secret agent sociopath killer art gallery Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie HarrisSam Mendes
30,558,Spider-Man 2,Action Adventure Fantasy,dual identity love of one's life pizza boy marvel comic sequel,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris,Sam Raimi,Action Adventure Fantasy dual identity love of one's life pizza boy marvel comic sequel Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary HarrisSam Raimi
31,68721,Iron Man 3,Action Adventure Science Fiction,terrorist war on terror tennessee malibu marvel comic,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall,Shane Black,Action Adventure Science Fiction terrorist war on terror tennessee malibu marvel comic Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca HallShane Black
32,12155,Alice in Wonderland,Family Fantasy Adventure,based on novel fictional place queen fantasy alice in wonderland,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover,Tim Burton,Family Fantasy Adventure based on novel fictional place queen fantasy alice in wonderland Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin GloverTim Burton
33,36668,X-Men: The Last Stand,Adventure Action Science Fiction Thriller,mutant marvel comic based on comic book superhuman beast,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen,Brett Ratner,Adventure Action Science Fiction Thriller mutant marvel comic based on comic book superhuman beast Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke JanssenBrett Ratner
34,62211,Monsters University,Animation Family,monster dormitory games animation best friend,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston,Dan Scanlon,Animation Family monster dormitory games animation best friend Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah JohnstonDan Scanlon
35,8373,Transformers: Revenge of the Fallen,Science Fiction Action Adventure,egypt sun chaos symbol artifact,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson,Michael Bay,Science Fiction Action Adventure egypt sun chaos symbol artifact Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese GibsonMichael Bay
36,91314,Transformers: Age of Extinction,Science Fiction Action Adventure,sequel alien transformers giant robot robot,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor,Michael Bay,Science Fiction Action Adventure sequel alien transformers giant robot robot Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack ReynorMichael Bay
37,68728,Oz: The Great and Powerful,Fantasy Adventure Family,circus witch magic hope illusion,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff,Sam Raimi,Fantasy Adventure Family circus witch magic hope illusion James Franco Mila Kunis Rachel Weisz Michelle Williams Zach BraffSam Raimi
38,102382,The Amazing Spider-Man 2,Action Adventure Fantasy,obsession marvel comic sequel based on comic book electrocution,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott,Marc Webb,Action Adventure Fantasy obsession marvel comic sequel based on comic book electrocution Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell ScottMarc Webb
39,20526,TRON: Legacy,Adventure Action Science Fiction,artificial intelligence secret identity computer program dystopia computer,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta,Joseph Kosinski,Adventure Action Science Fiction artificial intelligence secret identity computer program dystopia computer Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCostaJoseph Kosinski
40,49013,Cars 2,Animation Family Adventure Comedy,car race sequel comedy anthropomorphism best friend,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro,John Lasseter,Animation Family Adventure Comedy car race sequel comedy anthropomorphism best friend Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John TurturroJohn Lasseter
41,44912,Green Lantern,Adventure Action Thriller Science Fiction,dc comics transformation superhero alien alien infection,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong,Martin Campbell,Adventure Action Thriller Science Fiction dc comics transformation superhero alien alien infection Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark StrongMartin Campbell
42,10193,Toy Story 3,Animation Family Comedy,hostage college toy barbie animation,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton,Lee Unkrich,Animation Family Comedy hostage college toy barbie animation Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael KeatonLee Unkrich
43,534,Terminator Salvation,Action Science Fiction Thriller,saving the world artificial intelligence prophecy san francisco cyborg,Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard,McG,Action Science Fiction Thriller saving the world artificial intelligence prophecy san francisco cyborg Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas HowardMcG
44,168259,Furious 7,Action,car race speed revenge suspense car,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,James Wan,Action car race speed revenge suspense car Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese GibsonJames Wan
45,72190,World War Z,Action Drama Horror Science Fiction Thriller,dystopia apocalypse zombie nuclear weapons multiple perspectives,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,Marc Forster,Action Drama Horror Science Fiction Thriller dystopia apocalypse zombie nuclear weapons multiple perspectives Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge DaleMarc Forster
46,127585,X-Men: Days of Future Past,Action Adventure Fantasy Science Fiction,1970s mutant time travel marvel comic based on comic book,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,Bryan Singer,Action Adventure Fantasy Science Fiction 1970s mutant time travel marvel comic based on comic book Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle BerryBryan Singer
47,54138,Star Trek Into Darkness,Action Adventure Science Fiction,spacecraft friendship sequel futuristic space,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg,J.J. Abrams,Action Adventure Science Fiction spacecraft friendship sequel futuristic space Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon PeggJ.J. Abrams
48,81005,Jack the Giant Slayer,Action Family Fantasy,based on fairy tale giant,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane,Bryan Singer,Action Family Fantasy based on fairy tale giant Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShaneBryan Singer
49,64682,The Great Gatsby,Drama Romance,based on novel infidelity obsession hope 3d,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki,Baz Luhrmann,Drama Romance based on novel infidelity obsession hope 3d Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth DebickiBaz Luhrmann
50,9543,Prince of Persia: The Sands of Time,Adventure Fantasy Action Romance,persia sandstorm brother against brother armageddon regent,Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint,Mike Newell,Adventure Fantasy Action Romance persia sandstorm brother against brother armageddon regent Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve ToussaintMike Newell
51,68726,Pacific Rim,Action Science Fiction Adventure,dystopia giant robot giant monster apocalypse imax,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,Guillermo del Toro,Action Science Fiction Adventure dystopia giant robot giant monster apocalypse imax Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn GormanGuillermo del Toro
52,38356,Transformers: Dark of the Moon,Action Science Fiction Adventure,moon spacecraft traitor bodyguard alien planet,Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel,Michael Bay,Action Science Fiction Adventure moon spacecraft traitor bodyguard alien planet Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh DuhamelMichael Bay
53,217,Indiana Jones and the Kingdom of the Crystal Skull,Adventure Action,saving the world riddle whip treasure mexico city,Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen,Steven Spielberg,Adventure Action saving the world riddle whip treasure mexico city Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen AllenSteven Spielberg
54,105864,The Good Dinosaur,Adventure Animation Family,tyrannosaurus rex friends alternate history dinosaur fear,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,Peter Sohn,Adventure Animation Family tyrannosaurus rex friends alternate history dinosaur fear Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-PadillaPeter Sohn
55,62177,Brave,Animation Adventure Comedy Family Action,scotland rebel bravery kingdom archer,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,Brenda Chapman,Animation Adventure Comedy Family Action scotland rebel bravery kingdom archer Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKiddBrenda Chapman
56,188927,Star Trek Beyond,Action Adventure Science Fiction,sequel stranded hatred space opera,Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana,Justin Lin,Action Adventure Science Fiction sequel stranded hatred space opera Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe SaldanaJustin Lin
57,10681,WALL·E,Animation Family,romantic comedy,Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger,Andrew Stanton,Animation Family romantic comedy Ben Burtt Elissa Knight Jeff Garlin Fred Willard John RatzenbergerAndrew Stanton
58,5174,Rush Hour 3,Action Comedy Crime Thriller,ambassador,Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal,Brett Ratner,Action Comedy Crime Thriller ambassador Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan AttalBrett Ratner
59,14161,2012,Action Adventure Science Fiction,civilization natural disaster end of the world disaster apocalypse,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,Roland Emmerich,Action Adventure Science Fiction civilization natural disaster end of the world disaster apocalypse John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver PlattRoland Emmerich
60,17979,A Christmas Carol,Animation Drama,holiday based on novel victorian england money christmas eve,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,Robert Zemeckis,Animation Drama holiday based on novel victorian england money christmas eve Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage RyanRobert Zemeckis
61,76757,Jupiter Ascending,Science Fiction Fantasy Action Adventure,jupiter space woman director 3d interspecies romance,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,Lilly Wachowski,Science Fiction Fantasy Action Adventure jupiter space woman director 3d interspecies romance Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas BoothLilly Wachowski
62,258489,The Legend of Tarzan,Action Adventure,africa feral child tarzan jungle animal attack,Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou,David Yates,Action Adventure africa feral child tarzan jungle animal attack Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon HounsouDavid Yates
63,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure Family Fantasy,saving the world witch based on novel brother sister relationship self sacrifice,William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson,Andrew Adamson,Adventure Family Fantasy saving the world witch based on novel brother sister relationship self sacrifice William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam NeesonAndrew Adamson
64,246655,X-Men: Apocalypse,Science Fiction,mutant supernatural powers marvel comic superhero based on comic book,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,Bryan Singer,Science Fiction mutant supernatural powers marvel comic superhero based on comic book James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar IsaacBryan Singer
65,155,The Dark Knight,Drama Action Crime Thriller,dc comics crime fighter secret identity scarecrow sadism,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,Christopher Nolan,Drama Action Crime Thriller dc comics crime fighter secret identity scarecrow sadism Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie GyllenhaalChristopher Nolan
66,14160,Up,Animation Comedy Family Adventure,age difference central and south america balloon animation floating in the air,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo,Pete Docter,Animation Comedy Family Adventure age difference central and south america balloon animation floating in the air Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy LindoPete Docter
67,15512,Monsters vs Aliens,Animation Family Adventure Science Fiction,alien giant robot duringcreditsstinger,Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland,Conrad Vernon,Animation Family Adventure Science Fiction alien giant robot duringcreditsstinger Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer SutherlandConrad Vernon
68,1726,Iron Man,Action Science Fiction Adventure,middle east arms dealer malibu marvel comic superhero,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,Jon Favreau,Action Science Fiction Adventure middle east arms dealer malibu marvel comic superhero Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth PaltrowJon Favreau
69,44826,Hugo,Adventure Drama Family,library clock film director key toy,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone,Martin Scorsese,Adventure Drama Family library clock film director key toy Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray WinstoneMartin Scorsese
70,8487,Wild Wild West,Action Adventure Comedy Science Fiction Western,steampunk based on tv series steam locomotive drag,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,Barry Sonnenfeld,Action Adventure Comedy Science Fiction Western steampunk based on tv series steam locomotive drag Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet WalshBarry Sonnenfeld
71,1735,The Mummy: Tomb of the Dragon Emperor,Adventure Action Fantasy,,Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford,Rob Cohen,Adventure Action Fantasy  Brendan Fraser Jet Li John Hannah Maria Bello Luke FordRob Cohen
72,297761,Suicide Squad,Action Adventure Crime Fantasy Science Fiction,dc comics shared universe anti hero secret mission villain,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,David Ayer,Action Adventure Crime Fantasy Science Fiction dc comics shared universe anti hero secret mission villain Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared LetoDavid Ayer
73,2698,Evan Almighty,Fantasy Comedy Family,father son relationship daily life married couple support father,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins,Tom Shadyac,Fantasy Comedy Family father son relationship daily life married couple support father Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael HigginsTom Shadyac
74,137113,Edge of Tomorrow,Action Science Fiction,deja vu time warp restart dystopia war,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,Doug Liman,Action Science Fiction deja vu time warp restart dystopia war Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas ArmstrongDoug Liman
75,9804,Waterworld,Adventure Action,ocean tattoo mutant water dystopia,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,Kevin Reynolds,Adventure Action ocean tattoo mutant water dystopia Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto KazannKevin Reynolds
76,14869,G.I. Joe: The Rise of Cobra,Adventure Action Thriller Science Fiction,terrorist secret hostage technology warhead,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,Stephen Sommers,Adventure Action Thriller Science Fiction terrorist secret hostage technology warhead Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-LevittStephen Sommers
77,150540,Inside Out,Drama Comedy Animation Family,dream cartoon imaginary friend animation family,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Pete Docter,Drama Comedy Animation Family dream cartoon imaginary friend animation family Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis BlackPete Docter
78,278927,The Jungle Book,Family Adventure Drama Fantasy,based on novel snake wolf elephant tiger,Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson,Jon Favreau,Family Adventure Drama Fantasy based on novel snake wolf elephant tiger Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett JohanssonJon Favreau
79,10138,Iron Man 2,Adventure Action Science Fiction,malibu marvel comic superhero based on comic book revenge,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke,Jon Favreau,Adventure Action Science Fiction malibu marvel comic superhero based on comic book revenge Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey RourkeJon Favreau
80,58595,Snow White and the Huntsman,Adventure Fantasy Drama,queen magic fairy tale immortality forest,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane,Rupert Sanders,Adventure Fantasy Drama queen magic fairy tale immortality forest Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShaneRupert Sanders
81,102651,Maleficent,Fantasy Adventure Action Family Romance,fairy tale villain sleeping beauty dark fantasy based on fairy tale,Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple,Robert Stromberg,Fantasy Adventure Action Family Romance fairy tale villain sleeping beauty dark fantasy based on fairy tale Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno TempleRobert Stromberg
82,119450,Dawn of the Planet of the Apes,Science Fiction Action Drama Thriller,leader colony post-apocalyptic dystopia forest,Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell,Matt Reeves,Science Fiction Action Drama Thriller leader colony post-apocalyptic dystopia forest Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby KebbellMatt Reeves
